Nomor Referensi,Tgl Transaksi,Tgl Efektif,Debit,Kredit,Saldo,Keterangan,sumber dana,,,,,,,
1,44377,44377,,4867474,4867474,Saldo awal 30 Juni 2021,BTDKS SDIT,,,,,,,
1,44377,44377,,193310845,198178319,Saldo awal 30 Juni 2021,SPP SDIT,,,,,,,
1,44377,44377,,401863207,600041526,Saldo awal 30 Juni 2021,BKS SDIT,,,,,,,
1,44377,44377,,15834951,615876477,Saldo awal 30 Juni 2021,DPD SDIT,,,,,,,
1,44377,44377,,137627014,753503491,Saldo awal 30 Juni 2021,INF SDIT,,,,,,,
1,44377,44377,,752762400,1506265891,Saldo awal 30 Juni 2021,INR SDIT,,,,,Share Hasil Usaha,59449120,SHU YYS
1,44377,44377,,541316254,2047582145,Saldo awal 30 Juni 2021,SRN SDIT,,,,,Infaq Umum,3400000,INF YYS
1,44377,44377,,2882000,2050464145,Saldo awal 30 Juni 2021,SRG SDIT,,,,,Zakat,299426106,ZKT YYS
1,44377,44377,,2011000,2052475145,Saldo awal 30 Juni 2021,PPDB SDIT,,,,,Sisa Kegiatan UNIT,22451672,SKU YYS
1,44377,44377,,38660566,2091135711,Saldo awal 30 Juni 2021,SPP TKIT AE,,,,,Investasi Gedung SDIT,-181047186,ING SDIT YYS
1,44377,44377,,137371819,2228507530,Saldo awal 30 Juni 2021,BP TKIT AE,,,,,Investasi Gedung TKIT Aisyah,15742250,ING TKIT YYS
1,44377,44377,,670000,2229177530,Saldo awal 30 Juni 2021,EKS TKIT AE,,,,,Sarpras Dapur,-60687211,SRN DPR YYS
1,44377,44377,,208787150,2437964680,Saldo awal 30 Juni 2021,INF TKIT AE,,,,,Penampungan Sementara,425279461,PNS YYS
1,44377,44377,,58757100,2496721780,Saldo awal 30 Juni 2021,INR TKIT AE,,,,,Alokasi Pinjaman,57219348,AP YYS
1,44377,44377,,72145067,2568866847,Saldo awal 30 Juni 2021,SRN TKIT AE,,,,,Riba,60995310,RB YYS
1,44377,44377,1150000,,2567716847,Saldo awal 30 Juni 2021,SRG TKIT AE,,,,,,,
1,44377,44377,,2609100,2570325947,Saldo awal 30 Juni 2021,PPDB TKIT AE,,,,,,,
1,44377,44377,,6487364,2576813311,Saldo awal 30 Juni 2021,SPP TKIT ANS,,,,,,,
1,44377,44377,,4770000,2581583311,Saldo awal 30 Juni 2021,BKS TKIT ANS,,,,,,,
1,44377,44377,,28852290,2610435601,Saldo awal 30 Juni 2021,BP TKIT ANS,,,,,,,
