Sumber Dana,Kode,Rekening
SPP SDIT Anak Shalih,SPP SDIT,1210038105
Biaya Pangkal SDIT Anak Shalih,BP SDIT,1210038105
Biaya Kegiatan Satu Tahun SDIT Anak Shalih,BKS SDIT,1210038105
Ekstrakulikuker SDIT Anak Shalih,EKS SDIT,1210038105
Dompet Pendidikan Tetap SDIT Anak Shalih,DPD SDIT,1210038105
Dompet Pendidikan Tidak Tetap SDIT Anak Shalih,DPD TT SDIT,1210038105
Infaq SDIT Anak Shalih,INF SDIT,1210038105
Infrastruktur SDIT Anak Shalih,INR SDIT,1210038105
Sarana SDIT Anak Shalih,SRN SDIT,1210038105
seragam SDIT Anak Shalih,SRG SDIT,1210038105
PPDB SDIT Anak Shalih,PPDB SDIT,1210038105
Sumbangan Pembinaan Pendidikan (Siswa Baru) SDIT Anak Shalih,SPP SB SDIT,1210038105
Biaya Pangkal (Belum dipisahkan) SDIT Anak Shalih,BP SB SDIT,1210038105
Uang Gedung SDIT Anak Shalih,UG SDIT,1210038105
Uang Sarana Prasarana SDIT Anak Shalih,USP SDIT,1210038105
Biaya Kegiatan Satu Tahun (Siswa Baru) SDIT Anak Shalih,BKS SB SDIT,1210038105
Uang Seragam SDIT Anak Shalih,SRG SB SDIT,1210038105
Belum Teridentifikasi SDIT Anak Shalih,BTDKS SDIT,1210038105
SPP TKIT Aisyah Educare,SPP TKIT AE,1210038105
Biaya Pangkal TKIT Aisyah Educare,BP TKIT AE,1210038105
Biaya Kegiatan Satu Tahun TKIT Aisyah Educare,BKS TKIT AE,1210038105
Ekstrakulikuker TKIT Aisyah Educare,EKS TKIT AE,1210038105
Dompet Pendidikan Tetap TKIT Aisyah Educare,DPD TKIT AE,1210038105
Dompet Pendidikan Tidak Tetap TKIT Aisyah Educare,DPD TT TKIT AE,1210038105
Infaq TKIT Aisyah Educare,INF TKIT AE,1210038105
Infrastruktur TKIT Aisyah Educare,INR TKIT AE,1210038105
Sarana TKIT Aisyah Educare,SRN TKIT AE,1210038105
seragam TKIT Aisyah Educare,SRG TKIT AE,1210038105
PPDB TKIT Aisyah Educare,PPDB TKIT AE,1210038105
Sumbangan Pembinaan Pendidikan (Siswa Baru) TKIT Aisyah Educare,SPP SB TKIT AE,1210038105
Biaya Pangkal (Belum dipisahkan) TKIT Aisyah Educare,BP SB TKIT AE,1210038105
Uang Gedung TKIT Aisyah Educare,UG TKIT AE,1210038105
Uang Sarana Prasarana TKIT Aisyah Educare,USP TKIT AE,1210038105
Biaya Kegiatan Satu Tahun (Siswa Baru) TKIT Aisyah Educare,BKS SB TKIT AE,1210038105
Uang Seragam TKIT Aisyah Educare,SRG SB TKIT AE,1210038105
SPP TKIT Anak Shalih,SPP TKIT ANS,1210038105
Biaya Pangkal TKIT Anak Shalih,BP TKIT ANS,1210038105
Biaya Kegiatan Satu Tahun TKIT Anak Shalih,BKS TKIT ANS,1210038105
Ekstrakulikuker TKIT Anak Shalih,EKS TKIT ANS,1210038105
Dompet Pendidikan Tetap TKIT Anak Shalih,DPD TKIT ANS,1210038105
Dompet Pendidikan Tidak Tetap TKIT Anak Shalih,DPD TT TKIT ANS,1210038105
Infaq TKIT Anak Shalih,INF TKIT ANS,1210038105
Infrastruktur TKIT Anak Shalih,INR TKIT ANS,1210038105
Sarana TKIT Anak Shalih,SRN TKIT ANS,1210038105
seragam TKIT Anak Shalih,SRG TKIT ANS,1210038105
PPDB TKIT Anak Shalih,PPDB TKIT ANS,1210038105
Sumbangan Pembinaan Pendidikan (Siswa Baru) TKIT Anak Shalih,SPP SB TKIT ANS,1210038105
Biaya Pangkal (Belum dipisahkan) TKIT Anak Shalih,BP SB TKIT ANS,1210038105
Uang Gedung TKIT Anak Shalih,UG TKIT ANS,1210038105
Uang Sarana Prasarana TKIT Anak Shalih,USP TKIT ANS,1210038105
Biaya Kegiatan Satu Tahun (Siswa Baru) TKIT Anak Shalih,BKS SB TKIT ANS,1210038105
Uang Seragam TKIT Anak Shalih,SRG SB TKIT ANS,1210038105
Wakaf - Yayasan,WKF YYS,1220003632
Share Hasil Usaha - Yayasan,SHU YYS,1220003632
Infaq Umum - Yayasan,INF YYS,1220003632
Infaq SDIT  - Yayasan,INF SDIT YYS,1220003632
Infaq TKIT Aisyah - Yayasan,INF TKIT YYS,1220003632
Zakat - Yayasan,ZKT YYS,1220003632
Sisa Kegiatan UNIT - Yayasan,SKU YYS,1220003632
Investasi Gedung SDIT - Yayasan,ING SDIT YYS,1220003632
Sarpras SDIT - Yayasan,SRN SDIT YYS,1220003632
Investasi Gedung TKIT Aisyah - Yayasan,ING TKIT YYS,1220003632
Sarpras TKIT Aisyah - Yayasan,SRN TKIT YYS,1220003632
Sarpras Dapur - Yayasan,SRN DPR YYS,1220003632
Penampungan Sementara - Yayasan,PNS YYS,1220003632
Alokasi Pinjaman - Yayasan,AP YYS,1220003632
Riba - Yayasan,RB YYS,1220003632
Penampungan Sementara Pendidikan Anak Pegawai - Yayasan,PNS PAP YYS,1220003632
Infaq Umum - MIAH,INF MIAH,1220003633
Infaq Pembangunan - MIAH,INF PB MIAH,1220003633
Zakat - MIAH,ZKT MIAH,1220003633
Infaq Umum - Al Bani,INF AB,1220003635
Infaq Pembangunan - Al Bani,INF PB AB,1220003635
Zakat - Al Bani,ZKT AB,1220003635
Infaq Umum - Nuruttauhid,INF NT,1210103639
Infaq Pembangunan - Nuruttauhid,INF PB NT,1210103639
Zakat - Nuruttauhid,ZKT NT,1210103639
Lainnya,OTHER,
