VA,Keterangan,Kode
01,SPP SDIT,SPP SDIT
02,UANG PANGKAL SDIT,BP SDIT
03,DAFTAR ULANG SDIT,BKS SDIT
06,INFAQ SDIT,INF SDIT
07,DOPENDIK TT SDIT,DPD TT SDIT
09,PPDB SDIT,PPDB SDIT
08,EKSTRAKULIKULER SDIT,EKS SDIT
11,SPP TKIT Aisyah Educare,SPP TKIT AE
12,UANG PANGKAL TKIT Aisyah Educare,BP TKIT AE
13,DAFTAR ULANG TKIT Aisyah Educare,BKS TKIT AE
15,INFAQ TKIT Aisyah Educare,INF TKIT AE
16,DOPENDIK TT TKIT Aisyah Educare,DPD TT TKIT AE
17,PPDB TKIT Aisyah Educare,PPDB TKIT AE
21,SPP TKIT ANSHAL,SPP TKIT ANS
22,UANG PANGKAL TKIT ANSHAL,BP TKIT ANS
23,DAFTAR ULANG TKIT ANSHAL,BKS TKIT ANS
26,INFAQ TKIT ANSHAL,INF TKIT ANS
