Nomor Referensi,Tgl Transaksi,Tgl Efektif,Debit,Kredit,Saldo,Keterangan,sumber dana
0000000YYS,44377,44377,,59449120,59449120,Saldo awal 30 Juni 2021,SHU YYS
0000000YYS,44377,44377,,3400000,62849120,Saldo awal 30 Juni 2021,INF YYS
0000000YYS,44377,44377,,299426106,362275226,Saldo awal 30 Juni 2021,ZKT YYS
0000000YYS,44377,44377,,22451672,384726898,Saldo awal 30 Juni 2021,SKU YYS
0000000YYS,44377,44377,,-181047186,203679712,Saldo awal 30 Juni 2021,ING SDIT YYS
0000000YYS,44377,44377,,15742250,219421962,Saldo awal 30 Juni 2021,ING TKIT YYS
0000000YYS,44377,44377,,-60687211,158734751,Saldo awal 30 Juni 2021,SRN DPR YYS
0000000YYS,44377,44377,,425279461,584014212,Saldo awal 30 Juni 2021,PNS YYS
0000000YYS,44377,44377,,57219348,641233560,Saldo awal 30 Juni 2021,AP YYS
0000000YYS,44377,44377,,60995310,702228870,Saldo awal 30 Juni 2021,RB YYS
